Defined term,Definition,Reference1,Reference2
PS,pedicle screw,https://allacronyms.com/PS/medical,
PS,performance status,https://allacronyms.com/PS/medical,
PS,plastic surgery,https://allacronyms.com/PS/medical,
PS,pressure support,https://allacronyms.com/PS/medical,
PS,procedural sedation,https://allacronyms.com/PS/medical,
PS,pulmonary stenosis,https://allacronyms.com/PS/medical,
pseudocyst,"Pseudocyst is a blocked, swollen duct in the pancreas.",https://medlineplus.gov/ency/article/000272.htm,
PSH,PSH is past surgical history.,"Deutsch, LM.  Medical records for attorneys.  ALI-ABA 2001.",
PSH,PSH is psychosocial history.,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_P,
PSH,PSH is paroxysmal sympathetic hyperactivity.,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_P,
PSV,peak systolic velocities,http://www.globalrph.com/abbreviations_P2.htm,
PSV,pressure support ventilation,https://www.openanesthesia.org/modes_of_mechanical_ventilation/,
PT,"prothrombin time, a measure of blood clotting time.",http://medlineplus.gov/ency/article/003652.htm,
pt,Pt is patient.,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_P,
PT,physical therapy,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_P,
pt 1unit,transfused a unit of blood or blood component,,
pt ordered units,transfused a unit of blood or blood component,,
PTT,partial thromboplastin time,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_P,
Pulmozyme,Pulmozyme is medicine to improve breathing in people with cystic fibrosis.,https://www.rxlist.com/pulmozyme-drug.htm#indications,
purpose hemostasis,Hemostasis is natural or outside stoppage of bleeding.,"Dorland's Medical Dictionary for Health Consumers.  2007 by Saunders, an imprint of Elsevier Inc.",
purpura,Purpura occurs when small blood vessels leak blood under the skin.,https://medlineplus.gov/ency/article/003232.htm,
PVC,premature ventricular contraction,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_P,
PVD,peripheral vascular disease,,
pyometra,"Pyometra is ""accumulation of purulent material in the uterine cavity.""  It can be caused by cancer, radiotherapy, benign tumors, blocking of the cervix, infection, or congenital anomaly.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1581463/,
q4hr,Once every 4 hours.,,
QRS complex,The QRS complex is part of the electrocardiogram tracing.,https://www.nottingham.ac.uk/nursing/practice/resources/cardiology/function/st_segment.php,
radical nephrectomy,A radical nephrectomy is surgical removal of an entire kidney and may include some adjacent tissues.,https://www.mayoclinic.org/tests-procedures/nephrectomy/about/pac-20385165,
rami,Rami is plural of ramus. The ramus is a bone that is part of the pelvis.,https://en.wikipedia.org/wiki/Ischium#/media/File:Skeletal_pelvis-pubis.svg,
rami,Rami is plural of ramus. The ramus is part of the mandible (jaw bone).,https://en.wikipedia.org/wiki/Mandible#Ramus,
Ranitidine,"Ranitidine is a drug that blocks stomach acid production, to treat stomach and esophagus erosive problems.",https://www.rxlist.com/consumer_ranitidine_zantac/drugs-condition.htm,
rapidly deteriorated pm,Patient quickly got worse between noon and midnight.,,
RBC's,RBCs are red blood cells.,,
RD,RD is registered dietician.,https://www.acronymfinder.com/Science-and-Medicine/RD.html,
RD,RD is renal dialysis.,https://www.acronymfinder.com/Science-and-Medicine/RD.html,
RD,RD is Rett's Disorder.,https://www.acronymfinder.com/Science-and-Medicine/RD.html,
RD unit,"RD unit is radiation dose, or rad.",https://cnx.org/contents/zOZP3vRI@5.1:OZbSyYeb@4/Medical-Applications-of-Radioactivity-Diagnostic-Imaging-and-Radiation,
received unit,Patient received a unit of blood or blood component.,,
receiving trophic,"Receiving trophic means the patient is fed small boluses of enteral food, to provide food while avoiding aspiration pneumonia.",https://blogs.nejm.org/now/index.php/nutrition-in-critical-illness/2014/03/28/,
receiving unit,The patient received a unit of blood or blood component.,,
recruitment,Recruitment maneuvers are a mechanical ventilation strategy.,http://www.ijccm.org/article.asp?issn=0972-5229;year=2009;volume=13;issue=1;spage=1;epage=6;aulast=Chacko,
recruitment maneuvers,Recruitment maneuvers are a mechanical ventilation strategy.,http://www.ijccm.org/article.asp?issn=0972-5229;year=2009;volume=13;issue=1;spage=1;epage=6;aulast=Chacko,
rectal varices,"Rectal varices are enlarged veins due to portal hypertension, that occur in the rectum, bleed, and are anatomically distinct from hemorrhoids.",https://www.gastrojournal.org/article/0016-5085(86)91132-7/abstract,
red blood,bleeding,,
red blood cell tagged scan,The red blood cell (RBC) tagged scan is a procedure involving nuclear tagging of RBCs to locate the source of bleeding in the body.,http://nch.adam.com/content.aspx?productId=117&pid=1&gid=003835,
renal caliceal rupture,Renal forniceal or calyceal rupture is the radiographic finding of a perirenal urine leak as a result of ureteric obstruction.,https://radiopaedia.org/articles/renal-forniceal-rupture,
renal: cont w/,Continue kidney treatment.,,
replete lytes,Electrolytes were given to try to restore normal levels.,,
resuscitation,"Resuscitation is the process of sustaining the vital functions of a person in respiratory or cardiac failure while reviving him or her by using techniques of artificial respiration and cardiac massage, correcting acid-base imbalance, and treating the cause of failure.",https://medical-dictionary.thefreedictionary.com/resuscitation,
retrolisthesis,Retrolisthesis is backwards slippage of a vertebra.,https://www.healthline.com/health/retrolisthesis,
Rett,"Rett syndrome is a developmental disorder of the brain associated with autistic behavior, ataxia, dementia, seizure, and loss of control of hands.",https://medical-dictionary.thefreedictionary.com/Rett+syndrome,
Retts,"Rett syndrome is a developmental disorder of the brain associated with autistic behavior, ataxia, dementia, seizure, and loss of control of hands.",https://medical-dictionary.thefreedictionary.com/Rett+syndrome,
rhabdo,Rhabdomyolysis is acute muscle breakdown.,https://www.mda.org/quest/article/simply-stated-the-creatine-kinase-test,
rhabdomyolysis,Rhabdomyolysis is acute muscle breakdown.,https://www.mda.org/quest/article/simply-stated-the-creatine-kinase-test,
rhythm SB,"Rhythm SB is sinus bradycardia type heart rhythm, which is a slower than normal.",https://www.equimedcorp.com/rhythms/topic/45/,
rhythm: CHB,"CHB is complete heart block, which is third-degree atrioventricular block and is abnormal heart rhythm.",https://www.sciencedirect.com/topics/medicine-and-dentistry/third-degree-atrioventricular-block,
right colic artery,The right colic artery is one of three arteries that supply the large intestine.,https://www.merriam-webster.com/medical/colic%20artery,
right IJ,"Right internal jugular vein, used as a central venous access, in turn for rapid high-volume fluid administration, hemodynamic monitoring, medications, and blood sampling.",https://www.acep.org/uploadedFiles/ACEP/MeetingSites/SIM/Registration/Procedures%20Handouts%20ACEP%20SIM%202013.pdf,
right ventricular assist device,A right ventricular assist device is used to support a failing right heart ventricle.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3447008/,
RISS,regular insulin sliding scale,https://www.acronymfinder.com/Science-and-Medicine/RISS.html,
RISS,revised injury severity score,https://www.acronymfinder.com/Science-and-Medicine/RISS.html,
risS ,"RisS is a sensor protein from Burkholderia pseudomallei, which would indicate infection.",,
RLL,right lower lobe (lung),https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_R,
RN,radiation necrosis,https://www.allacronyms.com/RN/medical,
RN,radical nephrectomy,https://www.allacronyms.com/RN/medical,
RN,reflux nephropathy,https://www.allacronyms.com/RN/medical,
RN,registered nurse,https://www.allacronyms.com/RN/medical,
RR,recovery room,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_R,https://www.allacronyms.com/RR/medical
RR,relative risk,https://www.allacronyms.com/RR/medical,
RR,respiratory rate,https://www.allacronyms.com/RR/medical,
RSBI,rapid shallow breathing index,,
RSFA,RSFA is the right superficial femoral artery.,https://www.acronymfinder.com/RSFA.html,
rSr,regular sinus rhythm of heart,"Deutsch, LM.  Medical records for attorneys.  ALI-ABA 2001.",
rt heel,right heel,,
rubs,"Rubs are sounds heard through the stethoscope that can be from pleural (common in pneumonia, pulmonary embolism,  and pleuritis) or pericardial (due to pericarditis) friction.",https://depts.washington.edu/physdx/heart/tech5.html,https://en.wikipedia.org/wiki/Pericardial_friction_rub
rubs,"Rubs are sounds heard through the stethoscope that can be from pleural (common in pneumonia, pulmonary embolism,  and pleuritis) or pericardial (due to pericarditis) friction.",https://depts.washington.edu/physdx/heart/tech5.html,https://en.wikipedia.org/wiki/Pleural_friction_rub
RUL,right upper lobe (lung),https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_R,
ruptured AAA,"Ruptured AAA is a broken abdominal aortic aneurism, which generally results in significant internal bleeding.",,
Ruptured thoracoabdominal aortic aneurysm ,Ruptured thoracoabdominal aortic aneurysm is a leaking wall of the  thoracoabdominal aortic artery.,https://www.templehealth.org/services/treatments/thoracoabdominal-aortic-aneurysm-repair,
RUQ,right upper quadrant,records context,
RVAD,"RVAD is a right ventricular assist device, used to support a failing right heart ventricle.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3447008/,
Rx,Doctor's order,"Deutsch, LM.  Medical records for attorneys.  ALI-ABA 2001.",
s/p type,status post type,,
s/s,serosanguinous; mixed serous and bloody,records context,
"S1, S2","normal, regular sinus rhythm of heart","Deutsch, LM.  Medical records for attorneys.  ALI-ABA 2001.",
sandostatin,"Sandostatin is the brand name of octreotide acetate, used to reduce growth hormone and a growth factor, to treat acromegaly, severe diarrhea and flushing associated with carcinoid tumor or VIP-secreting tumors.",https://www.rxlist.com/sandostatin-drug.htm#dosage,
sarcoidosis,"Sarcoidosis is benign growths of inflammatory cells (granulomas) anywhere in the body, likely because of autoimmunity.",https://www.mayoclinic.org/diseases-conditions/sarcoidosis/symptoms-causes/syc-20350358,
SAT,Saturday,context,
SAT,saturated,https://allacronyms.com/SAT/medical,
SAT,slide agglutination test,https://allacronyms.com/SAT/medical,
sat 95,Normal blood oxygen saturation level is 98 through 100.,https://www.ucsfhealth.org/education/supplemental_oxygen/the_need_for_supplemental_oxygen/,
sat 98,Normal blood oxygen saturation level is 98 through 100.,https://www.ucsfhealth.org/education/supplemental_oxygen/the_need_for_supplemental_oxygen/,
sats,Refers only to oxygen saturation.,"Deutsch, LM.  Medical records for attorneys.  ALI-ABA 2001.",
SBP,spontaneous bacterial peritonitis,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_S,
SBP,systolic blood pressure,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_S,
SC,SC means skin cancer.,https://www.allacronyms.com/_medical/SC/medical,
SC,SC means skin care.,https://www.allacronyms.com/_medical/SC/medical,
SC,SC means small health.,https://www.allacronyms.com/_medical/SC/medical,
SC,SC means special care.,https://www.allacronyms.com/_medical/SC/medical,
SCH,SCH means schizophrenia.,https://www.allacronyms.com/_medical/SCH/medical,
SCH,SCH means Schwannomas.,https://www.allacronyms.com/_medical/SCH/medical,
SCH,SCH means subclinical hypothyroidism.,https://www.allacronyms.com/_medical/SCH/medical,
SCH,SCH means subconjunctival hemorrhage.,https://www.allacronyms.com/_medical/SCH/medical,
SCH,SCH means succinylcholine.,https://www.allacronyms.com/_medical/SCH/medical,
SCH,SCH means suprachiasmatic.,https://www.allacronyms.com/_medical/SCH/medical,
SCH,SCH means suprachoroidal hemorrhage.,https://www.allacronyms.com/_medical/SCH/medical,
SCT,SCT is stem cell transplantation to treat cancer.,https://www.mayoclinic.org/tests-procedures/autologous-stem-cell-transplant/gnc-20248048,
SDH,SDH is subdural haematoma.,https://patient.info/doctor/subdural-haematoma-pro,
sel/supersel a-gram,Superselective angiography is used to visualize a small area of tissue or a tumor.,https://www.radiologyinfo.org/en/info.cfm?pg=angiocath,
sepsis,Sepsis occurs when chemicals released into the bloodstream to fight an infection trigger inflammatory responses throughout the body.,https://www.mayoclinic.org/diseases-conditions/sepsis/symptoms-causes/syc-20351214,
septic shock,Septic shock is a life-threatening condition that happens when blood pressure drops to a dangerously low level after an infection.,https://www.nhs.uk/conditions/septic-shock/,
serosang,Serosanguinous means having both blood and serous fluid.,https://www.merriam-webster.com/medical/serosanguineous,
serous,Serous describes clear fluid (plasma) leaks out of a wound.,"Procop GW, Pritt B.  Pathology of infectious diseases e-book: a volume in the series: foundations in diagnostic pathology. Elsevier Health Sciences. 2014. p. 196.",
serum albumin <25 g/L,"Hypoalbuminemia, which can cause generalized edema.","Harrison's Principles of Internal Medicine, 19th ed.  Avail at Access Medicine.",
severe mixed obstructive,Mixed obstructive refers to lung disease.,,
severe mixed obstructive restrictive disease,Severe mixed obstructive restrictive disease is a severe lung disease.,https://www.webmd.com/lung/obstructive-and-restrictive-lung-disease#1,
severe PVD,PVD is peripheral vascular disease,"Deutsch, LM.  Medical records for attorneys.  ALI-ABA 2001.",
severity of pitting scale,This is used to measure edema severity.,Mosby's Medical Dictionary. Mosby. 2016. p. 1625,
shock,Shock is a life-threatening condition that occurs when the body is not getting enough blood flow. ,https://medlineplus.gov/ency/article/000039.htm,
SICU,surgical intensive care unit,www.bidmc.org/Patient-and-Visitor-Information/Adult-Intensive-Care/Finding-the-ICU.aspx,
SIMV,synchronized intermittent-mandatory ventilation.,https://www.openanesthesia.org/modes_of_mechanical_ventilation/,
Simvastatin,"Simvastatin is a drug used to lower ""bad"" cholesterol and raise ""good"" cholesterol in blood.",https://www.rxlist.com/consumer_simvastatin_zocor/drugs-condition.htm,
single cord blood transplantation complicated,"Umbilical cord blood transplantation contains stem cells and is done to restore the blood production system, that may have been damaged by cancer and severe blood disorders.",https://www.cancer.gov/publications/dictionaries/cancer-terms/def/umbilical-cord-blood-transplantation,
sinus arrest,Sinus arrest means the heart paused.,cal.vet.upenn.edu/projects/anestecg/Basics/Rhythm/sinusarr.htm,
SIRS,"SIRS is systemic inflammatory response syndrome, inflammation throughout the whole body that may lead to multiple organ failure and shock. It may be caused by a severe bacterial infection (sepsis), trauma, or pancreatitis. It is marked by fast heart rate, low blood pressure, low or high body temperature, and low or high white blood cell count.",https://www.cancer.gov/publications/dictionaries/cancer-terms/def/sirs,https://www.acronymfinder.com/Science-and-Medicine/SIRS.html
SITS,"SITS is Safe Implementation of Treatments in Stroke, a research initiative.",https://sitsinternational.org/,
SLE,Systemic Lupus Erythematosus,http://www.globalrph.com/abbreviations_S.htm,
SM,safety margin,http://www.globalrph.com/abbreviations_S.htm,
SM,self-monitoring,http://www.globalrph.com/abbreviations_S.htm,
SM,Serratia marcescens,http://www.globalrph.com/abbreviations_S.htm,
SM,simple mastectomy,http://www.globalrph.com/abbreviations_S.htm,
SM,smooth muscle,http://www.globalrph.com/abbreviations_S.htm,
SM,striated muscle,http://www.globalrph.com/abbreviations_S.htm,
SM,synaptic membrane,http://www.globalrph.com/abbreviations_S.htm,
SM,synovial membrane,http://www.globalrph.com/abbreviations_S.htm,
SM,systolic murmur,http://www.globalrph.com/abbreviations_S.htm,
SMA,superior mesenteric artery,globalrph.com/abbreviations_S.htm,
SMILE,"SMILE is the acronym for Stratified Mucinous Intraepithelial Lesion, which can be associated with cervical cancer.",Segan's Medical Dictionary.  Farlex Inc. 2012.,
SMILE,"SMILE is the name of a clinical trial, Survival of Myocardial Infarction Long-term Evaluation, that studied the impact of an ACE inhibitor drug.",Segan's Medical Dictionary.  Farlex Inc. 2012.,
SMV,superior mesenteric vein,https://www.acronymfinder.com/Science-and-Medicine/SMV.html,
SMV occlusion,SMV occlusion means the superior mesenteric vein is blocked.,,
SMV thrombosis,SMV thrombosis is a clot within the superior mesenteric vein,https://www.acronymfinder.com/Science-and-Medicine/SMV.html,
sounds clear,normal,"Deutsch, LM.  Medical records for attorneys.  ALI-ABA 2001.",
sounds coarse,Indicate secretions in the airway associated with chronic bronchitis and severe pulmonary edema.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4518345/,
spinal stenosis,"Spinal stenosis is a narrowing of the spaces within your spine, which can put pressure on the nerves that travel through the spine.",https://www.mayoclinic.org/diseases-conditions/spinal-stenosis/symptoms-causes/syc-20352961,
spit fistula,"A spit fistula is usually on the neck and is a complication of esophagus removal.  It might involve leakage of secretions, that can be contained with a pouch.",http://www.softconference.com/lww/sessionDetail.asp?SID=221794,
splenomegaly,splenomegaly is enlarged spleen,,
SPO,salivary peroxidase,https://www.allacronyms.com/_medical/SPO,
SPO,structure-process-outcome,https://www.allacronyms.com/_medical/SPO,
SPO,synaptoporin,https://www.allacronyms.com/_medical/SPO,
SpO2,SpO2 is related to mechanical ventilators.,http://www.ucdenver.edu/academics/colleges/medicalschool/departments/surgery/education/GrandRounds/Documents/GRpdfs/2006-2007/7-24-06%20Goldberg.pdf,
sput,sputum,,
SQ,subcutaneous,https://www.acronymfinder.com/Science-and-Medicine/SQ.html,
SR,"slow release, sustained release",https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_S,
SR,secretion rate,https://www.allacronyms.com/SR/medical,
SR,sedimentation rate,https://www.allacronyms.com/SR/medical,
SR,sinus rhythm,https://www.allacronyms.com/SR/medical,
SR,spontaneous respiration,https://www.allacronyms.com/SR/medical,
SR,stereotactic radiosurgery,https://www.allacronyms.com/SR/medical,
SR,strain rate,https://www.allacronyms.com/SR/medical,
SSRI,SSRI is selective serotonin reuptake inhibitor that is given to treat depression.,https://www.rxlist.com/the_comprehensive_list_of_antidepressants/drugs-condition.htm,
ST,sore throat,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_S,
ST,speech therapy,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_S,
ST Segment,The ST segment is a section of the electrocardiogram tracing that is used to measure myocardial infarction and necrosis.,https://www.nottingham.ac.uk/nursing/practice/resources/cardiology/function/st_segment.php,
stable,"Stable means unchanged, not necessarily normal.","Deutsch, LM.  Medical records for attorneys.  ALI-ABA 2001.",
stage IV coccygeal ulcer,"A stage IV coccygeal ulcer is a bedsore that is so deep that muscle, tendon, or bone are visible, often located in the skin over the tailbone.",https://expertpages.com/news/decubitus_ulcer.htm,
stat,Stat is a medical abbreviation for urgent or rush.,https://www.medicinenet.com/script/main/art.asp?articlekey=5550,
statin,Statins are given to lower low-density blood lipids.,,
status epilepticus,"Status epilepticus (SE) is a medical emergency of a continuous seizure lasting more than 30 min, or two or more seizures without full recovery of consciousness between any of them. ",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2824929/,
STEMI,"STEMI is ST-segment elevation myocardial infarction, a type of heart attack.",https://www.acronymfinder.com/Science-and-Medicine/STEMI.html,
sternal exploration,Sternal exploration is surgical exploration of the sternum.,https://www.supercoder.com/coding-newsletters/my-general-surgery-coding-alert/heres-your-wound-exploration-explanation-article,
Sternal Talon,Sternal Talon is a metal device for closing the sternum after an open heart operation.,http://www.klsmartinnorthamerica.com/application-fields/plastic-surgery/sternal-osteosynthesis/,
stoma,A stoma can be related to an ileostomy or to a tracheostomy.,,
str,Str is likely to be the abbreviation for strawberry flavor.,https://nutrition.abbott/uk/product/nepro-hp,
straw,"Straw is light yellow, the color of dilute urine.",Holmes DE.  Saunders Medical Assisting Exam Review - E-Book.  Elsevier Health Sciences. 2010.  ,
straw colored serum,plasma,https://medical-dictionary.thefreedictionary.com/serum,
streptococcal ,Streptococcal is a type of bacteria.,,
streptococcal bacteremia,Streptococcal bacteremia is an infection by streptococcal bacteria in the blood.,,
subclavian steal syndrome,"Subclavian steal syndrome is an acquired disorder where blood flows retrograde in parts of the vertebral or internal thoracic artery to move on to the arm, because the subclavian artery is narrowed or blocked in the proximal portion; symptoms include presyncope, syncope, neurologic deficits, memory problems, blood pressure differential between arms, or low circulation in the hands.",https://en.wikipedia.org/wiki/Subclavian_steal_syndrome,
subclavian vascular catheter,"A subclavian vascular catheter is a central venous catheter.  They are used long-term for hemodynamic pressure monitoring; hemodialysis; and administration of medications, nutrition, and fluids.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3190489/,
sublingual,Sublingual means under the tongue.,https://www.medicinenet.com/script/main/art.asp?articlekey=11275,
subtrochanteric,Subtrochanteric refers to the top section of thigh bone.,https://www.medicinenet.com/script/main/art.asp?articlekey=10448,
suctioned,Lungs are suctioned if the patient can't cough or is on a mechanical ventilator.,https://acls.com/free-resources/knowledge-base/respiratory-arrest-airway-management/basics-of-suctioning,
sulcus,A sulcus is a groove or furrow.  They occur in many parts of anatomy.,https://www.medicinenet.com/script/main/art.asp?articlekey=5588,
superior gluteal,"Superior gluteal could refer to the artery, nerve, veins, or lymph nodes.  The gluteal region is the buttocks.",https://www.dictionary.com/browse/gluteal,
superior gluteal artery,The superior gluteal artery is the largest branch of the internal iliac artery and supplies the gluteal muscles.,https://www.merriam-webster.com/medical/gluteal%20artery,
supersel a-gram,Superselective angiography is used to visualize a small area of tissue or a tumor.,https://www.radiologyinfo.org/en/info.cfm?pg=angiocath,
support,Support probably refers to mechanical ventilation.,,
support tol,Support tolerated probably refers to patient doing ok on mechanical ventilation.,,
support tracheotomy,"Support tracheotomy probably refers to care for the tracheotomy site, which would be in place for mechanical ventilation.",,
Susac,"Susac's Syndrome is an autoimmune disease that causes swelling of endothelial cells, resulting in blockage of very small arterioles and capillaries.",https://my.clevelandclinic.org/ccf/media/Files/susac-syndrome/pdf-brief-description.pdf,
SVC,SVC is the superior vena cava.,https://www.acronymfinder.com/Science-and-Medicine/SVC.html,
SVC,"SVC is slow vital capacity, a measure of impaired lung function.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4075849/,
SvO2,Mixed venous oxygen saturation.  Percentage of oxygen bound to hemoglobin in blood returning to the right side of the heart.  Measured with an invasive breathing monitor.,http://www.lhsc.on.ca/Health_Professionals/CCTC/edubriefs/svo2.htm,
Swan-Ganz catheter,"A catheter passed through right side of heart to the vessels leading to the lungs, which is used to monitor heart function, blood flow and pressures.",https://medlineplus.gov/ency/article/003870.htm,http://circ.ahajournals.org/content/119/1/147
sx,Lungs are suctioned if the patient can't cough or is on a mechanical ventilator.,https://acls.com/free-resources/knowledge-base/respiratory-arrest-airway-management/basics-of-suctioning,https://www.allacronyms.com/_medical/SXN
Sx,symptoms,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_S,
sxn,Lungs are suctioned if the patient can't cough or is on a mechanical ventilator.,https://acls.com/free-resources/knowledge-base/respiratory-arrest-airway-management/basics-of-suctioning,https://www.allacronyms.com/_medical/SXN
sxn'd,Lungs are suctioned if the patient can't cough or is on a mechanical ventilator.,https://acls.com/free-resources/knowledge-base/respiratory-arrest-airway-management/basics-of-suctioning,https://www.allacronyms.com/_medical/SXN
T wave,The T wave is a section of the electrocardiogram tracing.,https://www.nottingham.ac.uk/nursing/practice/resources/cardiology/function/st_segment.php,
T/F,transfer,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_T,
T11,"T11 is the 11th thoracic vertebra, near the bottom of the chest.",https://www.healthline.com/human-body-maps/t11-eleventh-thoracic-vertebrae#1,
tach episode,"Tach episode is an episode of tachycardia, which is fast heart rhythm.",,
tachy-brady syndrome,"Tachy-brady syndrome, also called tachycardia-bradycardia syndrome: the heart sometimes beats too quickly (tachy) and sometimes beats too slowly (brady). ",https://www.webmd.com/a-to-z-guides/tc/sick-sinus-syndrome-topic-overview,
Tamsulosin,Tamsulosin is given to men to improve urination. ,https://www.rxlist.com/flomax-drug/patient-images-side-effects.htm,
TAN,total ammonia nitrogen,https://www.allacronyms.com/TAN/medical,
tan sec,Tan sec could refer to tan colored secretions suctioned from the lungs.  Tan colored secretions could indicate infection.,"Altiner A, et al.  Sputum colour for diagnosis of a bacterial infection in patients with acute cough.  Scand J Prim Health Care 2009; 27(2): 70-73. doi:  10.1080/02813430902759663",
tan sx,Tan sx could refer to tan colored secretions suctioned from the lungs.  Tan colored secretions could indicate infection.,"Altiner A, et al.  Sputum colour for diagnosis of a bacterial infection in patients with acute cough.  Scand J Prim Health Care 2009; 27(2): 70-73. doi:  10.1080/02813430902759663",
Taxol,"Taxol is a drug used to treat cancer of the breast, ovary, and lung, and Kaposi's sarcoma.",https://www.drugs.com/taxol.html,
TBSA,total body surface area,https://ac.els-cdn.com/S1607551X09704206/1-s2.0-S1607551X09704206-main.pdf?_tid=78d74118-0dbe-11e8-855e-00000aacb361&acdnat=1518197416_0a223a85f370e6a467ec49441f2670db,
TCO,tissue culture origin,https://www.allacronyms.com/_medical/TCO,
TCO,total coronary occlusions,https://www.allacronyms.com/_medical/TCO,
TCO2,bicarbonate in blood,https://stanfordhealthcare.org/health-care-professionals/laboratory-critical-value-list/_jcr_content/pv-detail-parsys/multi_col_1392929040.tablerender.html,
TCO2,transcutaneous oximetry,https://www.allacronyms.com/_medical/TCO,
TEE,"TEE is transesophageal echocardiography, a method to visualize the heart and the arteries leading to and from the heart. ",https://www.heart.org/en/health-topics/heart-attack/diagnosing-a-heart-attack/transesophageal-echocardiography-tee,
temp,temperature,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_T,
temp pacer time,"Temp pacer is a temporary pacemaker, used during emergencies, until the doctor can implant a permanent pacemaker, or until a temporary condition goes away.",https://www.nhlbi.nih.gov/health-topics/pacemakers,
Teradyne,Teradyne is a company.,https://www.teradyne.com,
TF,transfer,https://en.wikipedia.org/wiki/List_of_medical_abbreviations:_T,
TF,tissue factor,https://www.allacronyms.com/TF/medical,
TF,to follow,https://www.allacronyms.com/TF/medical,
TF,tube feeding,https://www.allacronyms.com/TF/medical,
TF,typhoid fever,https://www.allacronyms.com/TF/medical,
TF,total fat,https://www.allacronyms.com/TF/medical,
TF goal ,TF is tube feeding.,DOI: 10.1177/0148607116673053,https://www.allacronyms.com/TF/medical
TF hold time,TF is tube feeding.,DOI: 10.1177/0148607116673053,https://www.allacronyms.com/TF/medical
TF Nepro,"Tube feeding of Nepro, a brand of enteral food for patients with acute renal failure or acute kidney injury, or receiving hemodialysis or continuous renal replacement therapy. ",http://static.abbottnutrition.com/cms-prod/abbottnutrition.com/img/74470_004%20Crit%20Care%20Leave%20Behind_FINAL.pdf,https://www.allacronyms.com/TF/medical
TF's,tube feedings,https://www.allacronyms.com/TF/medical,
TH,T helper cell,http://www.globalrph.com/abbreviations_T.htm,
TH,tension headache,http://www.globalrph.com/abbreviations_T.htm,
TH,thyroid hormone,http://www.globalrph.com/abbreviations_T.htm,
th pale yellow,This could mean secretions or discharge (from where?) is thick.,,
thick,Thick could mean consistency of liquid to be given by mouth.,,
"thick, yellow",Thick and  yellow implies an infection.,https://www.healthline.com/health/green-phlegm#green-or-yellow-phlegm,
thin liquids,Thin liquids can be safely given to people with normal swallowing ability.,https://www.uwhealth.org/healthfacts/neuro/468.pdf,
thoracentesis,"Thoracentesis, or pleural tap, is the introduction of a hollow needle between the ribs to drain fluid from the pleural space.",https://en.wikipedia.org/wiki/Thoracentesis,
thoracoabdominal aneurysm,Thoracoabdominal anneurysm is a weak spot in the wall of the thoracoabdominal aortic artery.,https://www.templehealth.org/services/treatments/thoracoabdominal-aortic-aneurysm-repair,
thoracoabdominal aortic aneurysm repair,Thoracoabdominal aortic aneurysm repair is surgery to repair a weakness in the thoracoabdominal aortic artery.,https://www.templehealth.org/services/treatments/thoracoabdominal-aortic-aneurysm-repair,
three vessel disease,Three vessel disease is a form of coronary artery disease.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4603099/,
thrombectomy,Thrombectomy is removal of a thrombus with a catheter or surgery.,https://www.uabmedicine.org/patient-care/treatments/thrombectomy-,
thrombocytopenia,Thrombocytopenia is low platelet count and can cause bleeding.,,
thrombosis,"Thrombosis is unwanted ""clotting"" in bloodstream.",,
thrush,Thrush is a yeast infection of the mouth and throat.,https://www.medicinenet.com/script/main/art.asp?articlekey=10313,
TID,3 times per day,globalrph.com/abbreviations,
tip sent culture,A wire tip (actual or swab of it) was sent for culture.,,
TLCL,T-Cell Lymphosarcoma Cell Leukemia,https://www.acronymfinder.com/Science-and-Medicine/TLCL.html,
TLCL,T-large-Cell Lymphoma,https://www.acronymfinder.com/Science-and-Medicine/TLCL.html,
